id,brewery_id,name_x,style,abv,ibu,ounces,name_y,city,state
1979,177,Bitter Bitch,American Pale Ale (APA),0.061,60,12,18th Street Brewery,Gary, IN
1036,368,Lower De Boom,American Barleywine,0.099,92,8.4,21st Amendment Brewery,San Francisco, CA
1024,368,Fireside Chat,Winter Warmer,0.079,45,12,21st Amendment Brewery,San Francisco, CA
876,368,Bitter American,American Pale Ale (APA),0.044,42,12,21st Amendment Brewery,San Francisco, CA
802,368,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,0.049,17,12,21st Amendment Brewery,San Francisco, CA
801,368,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,0.049,17,12,21st Amendment Brewery,San Francisco, CA
800,368,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,0.049,17,12,21st Amendment Brewery,San Francisco, CA
799,368,21st Amendment IPA (2006),American IPA,0.07,70,12,21st Amendment Brewery,San Francisco, CA
797,368,Brew Free! or Die IPA (2008),American IPA,0.07,70,12,21st Amendment Brewery,San Francisco, CA
796,368,Brew Free! or Die IPA (2009),American IPA,0.07,70,12,21st Amendment Brewery,San Francisco, CA
531,368,Special Edition: Allies Win The War!,English Strong Ale,0.085,52,12,21st Amendment Brewery,San Francisco, CA
432,368,Hop Crisis,American Double / Imperial IPA,0.097,94,12,21st Amendment Brewery,San Francisco, CA
353,368,Bitter American (2011),American Pale Ale (APA),0.044,42,12,21st Amendment Brewery,San Francisco, CA
321,368,Fireside Chat (2010),Winter Warmer,0.079,45,12,21st Amendment Brewery,San Francisco, CA
173,368,Back in Black,American Black Ale,0.068,65,12,21st Amendment Brewery,San Francisco, CA
11,368,Monk's Blood,Belgian Dark Ale,0.083,35,12,21st Amendment Brewery,San Francisco, CA
10,368,Brew Free! or Die IPA,American IPA,0.07,65,12,21st Amendment Brewery,San Francisco, CA
9,368,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,0.049,17,12,21st Amendment Brewery,San Francisco, CA
2519,67,Bimini Twist,American IPA,0.07,82,12,3 Daughters Brewing,St Petersburg, FL
2545,60,Passion Fruit Prussia,Berliner Weissbier,0.035,11,12,4 Hands Brewing Company,Saint Louis, MO
2544,60,Send Help,American Blonde Ale,0.045,18,12,4 Hands Brewing Company,Saint Louis, MO
1870,60,Contact High,American Pale Wheat Ale,0.05,28,12,4 Hands Brewing Company,Saint Louis, MO
2602,27,Citrafest,American IPA,0.05,45,16,450 North Brewing Company,Columbus, IN
2219,27,Scarecrow,American IPA,0.069,65,16,450 North Brewing Company,Columbus, IN
2218,27,Ironman,English Strong Ale,0.09,50,16,450 North Brewing Company,Columbus, IN
2217,27,Honey Kolsch,Kölsch,0.046,15,16,450 North Brewing Company,Columbus, IN
2216,27,Copperhead Amber,Belgian Dark Ale,0.052,18,16,450 North Brewing Company,Columbus, IN
972,481,Rude Parrot IPA,American IPA,0.059,75,16,7 Seas Brewing Company,Gig Harbor, WA
866,481,British Pale Ale (2010),English Pale Ale,0.054,30,16,7 Seas Brewing Company,Gig Harbor, WA
48,481,British Pale Ale,English Pale Ale,0.054,30,16,7 Seas Brewing Company,Gig Harbor, WA
