name_x,abv,ibu,id,style,brewery_id,ounces,name_y,city,state,region
Bitter Bitch,0.061,60,1979,American Pale Ale (APA),177,12,18th Street Brewery,Gary,IN,midwest
Lower De Boom,0.099,92,1036,American Barleywine,368,8.4,21st Amendment Brewery,San Francisco,CA,west
Fireside Chat,0.079,45,1024,Winter Warmer,368,12,21st Amendment Brewery,San Francisco,CA,west
Bitter American,0.044,42,876,American Pale Ale (APA),368,12,21st Amendment Brewery,San Francisco,CA,west
Hell or High Watermelon Wheat (2009),0.049,17,802,Fruit / Vegetable Beer,368,12,21st Amendment Brewery,San Francisco,CA,west
21st Amendment Watermelon Wheat Beer (2006),0.049,17,800,Fruit / Vegetable Beer,368,12,21st Amendment Brewery,San Francisco,CA,west
21st Amendment IPA (2006),0.07,70,799,American IPA,368,12,21st Amendment Brewery,San Francisco,CA,west
Brew Free! or Die IPA (2008),0.07,70,797,American IPA,368,12,21st Amendment Brewery,San Francisco,CA,west
Brew Free! or Die IPA (2009),0.07,70,796,American IPA,368,12,21st Amendment Brewery,San Francisco,CA,west
Special Edition: Allies Win The War!,0.085,52,531,English Strong Ale,368,12,21st Amendment Brewery,San Francisco,CA,west
Hop Crisis,0.097,94,432,American Double / Imperial IPA,368,12,21st Amendment Brewery,San Francisco,CA,west
Bitter American (2011),0.044,42,353,American Pale Ale (APA),368,12,21st Amendment Brewery,San Francisco,CA,west
Fireside Chat (2010),0.079,45,321,Winter Warmer,368,12,21st Amendment Brewery,San Francisco,CA,west
Back in Black,0.068,65,173,American Black Ale,368,12,21st Amendment Brewery,San Francisco,CA,west
Monk's Blood,0.083,35,11,Belgian Dark Ale,368,12,21st Amendment Brewery,San Francisco,CA,west
Brew Free! or Die IPA,0.07,65,10,American IPA,368,12,21st Amendment Brewery,San Francisco,CA,west
Hell or High Watermelon Wheat,0.049,17,9,Fruit / Vegetable Beer,368,12,21st Amendment Brewery,San Francisco,CA,west
Bimini Twist,0.07,82,2519,American IPA,67,12,3 Daughters Brewing,St Petersburg,FL,south
Passion Fruit Prussia,0.035,11,2545,Berliner Weissbier,60,12,4 Hands Brewing Company,Saint Louis,MO,midwest
Send Help,0.045,18,2544,American Blonde Ale,60,12,4 Hands Brewing Company,Saint Louis,MO,midwest
Contact High,0.05,28,1870,American Pale Wheat Ale,60,12,4 Hands Brewing Company,Saint Louis,MO,midwest
Citrafest,0.05,45,2602,American IPA,27,16,450 North Brewing Company,Columbus,IN,midwest
Scarecrow,0.069,65,2219,American IPA,27,16,450 North Brewing Company,Columbus,IN,midwest
Ironman,0.09,50,2218,English Strong Ale,27,16,450 North Brewing Company,Columbus,IN,midwest
Honey Kolsch,0.046,15,2217,Kölsch,27,16,450 North Brewing Company,Columbus,IN,midwest
Copperhead Amber,0.052,18,2216,Belgian Dark Ale,27,16,450 North Brewing Company,Columbus,IN,midwest
Rude Parrot IPA,0.059,75,972,American IPA,481,16,7 Seas Brewing Company,Gig Harbor,WA,west
British Pale Ale (2010),0.054,30,866,English Pale Ale,481,16,7 Seas Brewing Company,Gig Harbor,WA,west
British Pale Ale,0.054,30,48,English Pale Ale,481,16,7 Seas Brewing Company,Gig Harbor,WA,west
Ballz Deep Double IPA,0.084,82,47,American Double / Imperial IPA,481,16,7 Seas Brewing Company,Gig Harbor,WA,west
Colorado Native,0.055,26,1165,American Amber / Red Lager,462,12,AC Golden Brewing Company,Golden,CO,west
Colorado Native (2011),0.055,26,431,American Amber / Red Lager,462,12,AC Golden Brewing Company,Golden,CO,west
Jockamo IPA,0.065,52,516,American IPA,533,12,Abita Brewing Company,Abita Springs,LA,south
Purple Haze,0.042,13,515,Fruit / Vegetable Beer,533,12,Abita Brewing Company,Abita Springs,LA,south
Abita Amber,0.045,17,514,American Amber / Red Lager,533,12,Abita Brewing Company,Abita Springs,LA,south
Citra Ass Down,0.082,68,2540,American IPA,62,16,Against The Grain Brewery,Louisville,KY,south
The Brown Note,0.05,20,2539,American Brown Ale,62,16,Against The Grain Brewery,Louisville,KY,south
London Balling,0.125,80,2685,English Barleywine,1,16,Against the Grain Brewery,Louisville,KY,south
35 K,0.077,25,2684,Milk / Sweet Stout,1,16,Against the Grain Brewery,Louisville,KY,south
A Beer,0.042,42,2683,American Pale Ale (APA),1,16,Against the Grain Brewery,Louisville,KY,south
Rules are Rules,0.05,25,2682,German Pilsener,1,16,Against the Grain Brewery,Louisville,KY,south
Flesh Gourd'n,0.066,21,2681,Pumpkin Ale,1,16,Against the Grain Brewery,Louisville,KY,south
Sho'nuff,0.04,13,2680,Belgian Pale Ale,1,16,Against the Grain Brewery,Louisville,KY,south
Bloody Show,0.055,17,2679,American Pilsner,1,16,Against the Grain Brewery,Louisville,KY,south
Rico Sauvin,0.076,68,2678,American Double / Imperial IPA,1,16,Against the Grain Brewery,Louisville,KY,south
Coq de la Marche,0.051,38,2677,Saison / Farmhouse Ale,1,16,Against the Grain Brewery,Louisville,KY,south
Pile of Face,0.06,65,2675,American IPA,1,16,Against the Grain Brewery,Louisville,KY,south
Maylani's Coconut Stout,0.053,35,1594,American Stout,367,16,Airways Brewing Company,Kent,WA,west
Oatmeal PSA,0.05,35,1162,American Pale Ale (APA),367,16,Airways Brewing Company,Kent,WA,west
Pre Flight Pilsner,0.052,33,1137,American Pilsner,367,16,Airways Brewing Company,Kent,WA,west
P-Town Pilsner,0.04,20,2403,American Pilsner,117,12,Alameda Brewing,Portland,OR,west
Klickitat Pale Ale,0.053,36,2402,American Pale Ale (APA),117,12,Alameda Brewing,Portland,OR,west
Yellow Wolf Imperial IPA,0.082,103,2401,American Double / Imperial IPA,117,12,Alameda Brewing,Portland,OR,west
Freeride APA,0.053,40,1921,American Pale Ale (APA),270,12,Alaskan Brewing Company,Juneau,AK,west
Alaskan Amber,0.053,18,1920,Altbier,270,12,Alaskan Brewing Company,Juneau,AK,west
Desolation IPA,0.062,43,837,American IPA,401,16,Amnesia Brewing Company,Washougal,WA,west
Barney Flats Oatmeal Stout,0.057,13,1520,Oatmeal Stout,171,12,Anderson Valley Brewing Company,Boonville,CA,west
Summer Solstice,0.056,4,1350,Cream Ale,171,12,Anderson Valley Brewing Company,Boonville,CA,west
Hop Ottin' IPA,0.07,80,1327,American IPA,171,12,Anderson Valley Brewing Company,Boonville,CA,west
Boont Amber Ale,0.058,15,1326,American Amber / Red Ale,171,12,Anderson Valley Brewing Company,Boonville,CA,west
El Steinber Dark Lager,0.055,25,1217,Vienna Lager,171,16,Anderson Valley Brewing Company,Boonville,CA,west
Boont Amber Ale (2010),0.058,15,811,American Amber / Red Ale,171,12,Anderson Valley Brewing Company,Boonville,CA,west
Summer Solstice Cerveza Crema (2009),0.056,4,753,Cream Ale,171,12,Anderson Valley Brewing Company,Boonville,CA,west
Barney Flats Oatmeal Stout (2012),0.057,13,572,Oatmeal Stout,171,12,Anderson Valley Brewing Company,Boonville,CA,west
Winter Solstice,0.069,6,523,Winter Warmer,171,12,Anderson Valley Brewing Company,Boonville,CA,west
Hop Ottin' IPA (2011),0.07,80,367,American IPA,171,12,Anderson Valley Brewing Company,Boonville,CA,west
Boont Amber Ale (2011),0.058,15,78,American Amber / Red Ale,171,12,Anderson Valley Brewing Company,Boonville,CA,west
Summer Solstice (2011),0.056,4,77,Cream Ale,171,12,Anderson Valley Brewing Company,Boonville,CA,west
Poleeko Gold Pale Ale (2009),0.055,28,76,American Pale Ale (APA),171,12,Anderson Valley Brewing Company,Boonville,CA,west
Long Leaf,0.071,75,2511,American IPA,69,16,Appalachian Mountain Brewery,Boone,NC,south
Honey Badger Blonde,0.047,19,2510,American Blonde Ale,69,16,Appalachian Mountain Brewery,Boone,NC,south
Porter (a/k/a Black Gold Porter),0.06,23,2509,American Porter,69,16,Appalachian Mountain Brewery,Boone,NC,south
Sky High Rye,0.06,55,413,American Pale Ale (APA),541,12,Arcadia Brewing Company,Battle Creek,MI,midwest
Whitsun,0.062,17,390,American Pale Wheat Ale,541,12,Arcadia Brewing Company,Battle Creek,MI,midwest
Quakertown Stout,0.092,50,1333,American Double / Imperial Stout,426,12,Armadillo Ale Works,Denton,TX,south
Greenbelt Farmhouse Ale,0.051,20,1332,Saison / Farmhouse Ale,426,12,Armadillo Ale Works,Denton,TX,south
Mo's Gose,0.052,10,1172,Gose,461,16,Armstrong Brewing Company,South San Francisco,CA,west
Green Bullet Organic India Pale Ale,0.07,45,1322,American IPA,429,16,Asher Brewing Company,Boulder,CO,west
Rocket Girl,0.032,27,550,Kölsch,528,12,Asheville Brewing Company,Asheville,NC,south
Ninja Porter,0.053,26,429,American Porter,528,12,Asheville Brewing Company,Asheville,NC,south
Shiva IPA,0.06,69,428,American IPA,528,12,Asheville Brewing Company,Asheville,NC,south
This Season's Blonde,0.056,27,597,American Blonde Ale,523,12,Aspen Brewing Company,Aspen,CO,west
Independence Pass Ale,0.07,67,596,American IPA,523,12,Aspen Brewing Company,Aspen,CO,west
Trolley Stop Stout,0.057,40,1580,American Stout,374,12,Astoria Brewing Company,Astoria,OR,west
Bitter Bitch Imperial IPA,0.082,138,980,American Double / Imperial IPA,374,12,Astoria Brewing Company,Astoria,OR,west
Poop Deck Porter,0.062,35,979,American Porter,374,12,Astoria Brewing Company,Astoria,OR,west
Old Red Beard Amber Ale,0.06,35,978,American Amber / Red Ale,374,12,Astoria Brewing Company,Astoria,OR,west
Hop A-Peel,0.075,115,2503,American Double / Imperial IPA,72,16,Atwater Brewery,Detroit,MI,midwest
Vanilla Java Porter,0.055,12,2502,American Porter,72,16,Atwater Brewery,Detroit,MI,midwest
Dirty Blonde Ale,0.045,8,534,American Blonde Ale,72,12,Atwater Brewery,Detroit,MI,midwest
Grand Circus IPA,0.05,62,528,American IPA,72,12,Atwater Brewery,Detroit,MI,midwest
Atwater's Lager,0.05,12,527,Munich Helles Lager,72,12,Atwater Brewery,Detroit,MI,midwest
Avery Joe’s Premium American Pilsner,0.047,42,146,German Pilsener,37,12,Avery Brewing Company,Boulder,CO,west
White Rascal,0.056,10,108,Witbier,37,12,Avery Brewing Company,Boulder,CO,west
Avery India Pale Ale,0.063,69,107,American IPA,37,12,Avery Brewing Company,Boulder,CO,west
Ellie’s Brown Ale,0.055,17,106,American Brown Ale,37,12,Avery Brewing Company,Boulder,CO,west
Pumpkin Beast,0.062,17,1620,Pumpkin Ale,360,12,Aviator Brewing Company,Fuquay-Varina,NC,south
OktoberBeast,0.072,22,1579,Märzen / Oktoberfest,360,12,Aviator Brewing Company,Fuquay-Varina,NC,south
Mad Beach,0.048,23,1228,American Pale Wheat Ale,360,12,Aviator Brewing Company,Fuquay-Varina,NC,south
Devils Tramping Ground Tripel,0.092,5,704,Tripel,360,12,Aviator Brewing Company,Fuquay-Varina,NC,south
Hot Rod Red,0.061,41,702,American Amber / Red Ale,360,12,Aviator Brewing Company,Fuquay-Varina,NC,south
Naked Pig Pale Ale,0.06,43,1875,American Pale Ale (APA),286,12,Back Forty Beer Company,Gadsden,AL,south
Topcutter India Pale Ale,0.068,70,966,American IPA,483,12,Bale Breaker Brewing Company,Yakima,WA,west
Field 41 Pale Ale,0.044,38,965,American Pale Ale (APA),483,12,Bale Breaker Brewing Company,Yakima,WA,west
Even Keel,0.038,40,2105,American IPA,34,12,Ballast Point Brewing Company,San Diego,CA,west
Ballast Point Pale Ale,0.052,23,1401,Kölsch,34,12,Ballast Point Brewing Company,San Diego,CA,west
Big Eye India Pale Ale,0.07,75,1400,American IPA,34,12,Ballast Point Brewing Company,San Diego,CA,west
Sculpin IPA,0.07,70,1018,American IPA,34,12,Ballast Point Brewing Company,San Diego,CA,west
Banner American Rye,0.045,20,1644,Rye Beer,318,12,Banner Beer Company,Williamsburg,MA,northeast
Banner American Ale,0.035,45,1643,American Amber / Red Ale,318,12,Banner Beer Company,Williamsburg,MA,northeast
Thai.p.a,0.07,46,2618,American IPA,20,16,Bare Hands Brewery,Granger,IN,midwest
Barrio Blanco,0.06,60,2005,American IPA,251,12,Barrio Brewing Company,Tucson,AZ,west
Hop in the ‘Pool Helles,0.049,22,2404,American Pilsner,116,12,Base Camp Brewing Co.,Portland,OR,west
Ultra Gnar Gnar IPA,0.067,60,2323,American IPA,116,12,Base Camp Brewing Co.,Portland,OR,west
In-Tents India Pale Lager,0.068,62,2189,American Pale Lager,116,12,Base Camp Brewing Co.,Portland,OR,west
Lost Meridian Wit,0.05,20,2188,Witbier,116,12,Base Camp Brewing Co.,Portland,OR,west
Celestial Meridian Cascadian Dark Lager,0.051,45,2187,Euro Dark Lager,116,12,Base Camp Brewing Co.,Portland,OR,west
