,Unnamed: 0,abv,ibu,id,name_x,style,brewery_id,ounces,name_y,city,state,region
0,14,0.061,60.0,1979,Bitter Bitch,American Pale Ale (APA),177,12.0,18th Street Brewery,Gary,IN,midwest
1,21,0.099,92.0,1036,Lower De Boom,American Barleywine,368,8.4,21st Amendment Brewery,San Francisco,CA,west
2,22,0.079,45.0,1024,Fireside Chat,Winter Warmer,368,12.0,21st Amendment Brewery,San Francisco,CA,west
3,24,0.044,42.0,876,Bitter American,American Pale Ale (APA),368,12.0,21st Amendment Brewery,San Francisco,CA,west
4,25,0.049,17.0,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco,CA,west
5,27,0.049,17.0,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco,CA,west
6,28,0.07,70.0,799,21st Amendment IPA (2006),American IPA,368,12.0,21st Amendment Brewery,San Francisco,CA,west
7,29,0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,368,12.0,21st Amendment Brewery,San Francisco,CA,west
8,30,0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,368,12.0,21st Amendment Brewery,San Francisco,CA,west
9,31,0.085,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0,21st Amendment Brewery,San Francisco,CA,west
10,32,0.097,94.0,432,Hop Crisis,American Double / Imperial IPA,368,12.0,21st Amendment Brewery,San Francisco,CA,west
11,33,0.044,42.0,353,Bitter American (2011),American Pale Ale (APA),368,12.0,21st Amendment Brewery,San Francisco,CA,west
12,34,0.079,45.0,321,Fireside Chat (2010),Winter Warmer,368,12.0,21st Amendment Brewery,San Francisco,CA,west
13,35,0.068,65.0,173,Back in Black,American Black Ale,368,12.0,21st Amendment Brewery,San Francisco,CA,west
14,36,0.083,35.0,11,Monk's Blood,Belgian Dark Ale,368,12.0,21st Amendment Brewery,San Francisco,CA,west
15,37,0.07,65.0,10,Brew Free! or Die IPA,American IPA,368,12.0,21st Amendment Brewery,San Francisco,CA,west
16,38,0.049,17.0,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco,CA,west
17,39,0.07,82.0,2519,Bimini Twist,American IPA,67,12.0,3 Daughters Brewing,St Petersburg,FL,south
18,42,0.035,11.0,2545,Passion Fruit Prussia,Berliner Weissbier,60,12.0,4 Hands Brewing Company,Saint Louis,MO,midwest
19,43,0.045,18.0,2544,Send Help,American Blonde Ale,60,12.0,4 Hands Brewing Company,Saint Louis,MO,midwest
20,49,0.05,28.0,1870,Contact High,American Pale Wheat Ale,60,12.0,4 Hands Brewing Company,Saint Louis,MO,midwest
21,51,0.05,45.0,2602,Citrafest,American IPA,27,16.0,450 North Brewing Company,Columbus,IN,midwest
22,53,0.069,65.0,2219,Scarecrow,American IPA,27,16.0,450 North Brewing Company,Columbus,IN,midwest
23,54,0.09,50.0,2218,Ironman,English Strong Ale,27,16.0,450 North Brewing Company,Columbus,IN,midwest
24,55,0.046,15.0,2217,Honey Kolsch,Kölsch,27,16.0,450 North Brewing Company,Columbus,IN,midwest
25,56,0.052000000000000005,18.0,2216,Copperhead Amber,Belgian Dark Ale,27,16.0,450 North Brewing Company,Columbus,IN,midwest
26,57,0.059,75.0,972,Rude Parrot IPA,American IPA,481,16.0,7 Seas Brewing Company,Gig Harbor,WA,west
27,58,0.054000000000000006,30.0,866,British Pale Ale (2010),English Pale Ale,481,16.0,7 Seas Brewing Company,Gig Harbor,WA,west
28,59,0.054000000000000006,30.0,48,British Pale Ale,English Pale Ale,481,16.0,7 Seas Brewing Company,Gig Harbor,WA,west
29,60,0.084,82.0,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.0,7 Seas Brewing Company,Gig Harbor,WA,west
30,62,0.055,26.0,1165,Colorado Native,American Amber / Red Lager,462,12.0,AC Golden Brewing Company,Golden,CO,west
31,63,0.055,26.0,431,Colorado Native (2011),American Amber / Red Lager,462,12.0,AC Golden Brewing Company,Golden,CO,west
32,64,0.065,52.0,516,Jockamo IPA,American IPA,533,12.0,Abita Brewing Company,Abita Springs,LA,south
33,65,0.042,13.0,515,Purple Haze,Fruit / Vegetable Beer,533,12.0,Abita Brewing Company,Abita Springs,LA,south
34,66,0.045,17.0,514,Abita Amber,American Amber / Red Lager,533,12.0,Abita Brewing Company,Abita Springs,LA,south
35,67,0.08199999999999999,68.0,2540,Citra Ass Down,American IPA,62,16.0,Against The Grain Brewery,Louisville,KY,south
36,68,0.05,20.0,2539,The Brown Note,American Brown Ale,62,16.0,Against The Grain Brewery,Louisville,KY,south
37,70,0.125,80.0,2685,London Balling,English Barleywine,1,16.0,Against the Grain Brewery,Louisville,KY,south
38,71,0.077,25.0,2684,35 K,Milk / Sweet Stout,1,16.0,Against the Grain Brewery,Louisville,KY,south
39,72,0.042,42.0,2683,A Beer,American Pale Ale (APA),1,16.0,Against the Grain Brewery,Louisville,KY,south
40,73,0.05,25.0,2682,Rules are Rules,German Pilsener,1,16.0,Against the Grain Brewery,Louisville,KY,south
41,74,0.066,21.0,2681,Flesh Gourd'n,Pumpkin Ale,1,16.0,Against the Grain Brewery,Louisville,KY,south
42,75,0.04,13.0,2680,Sho'nuff,Belgian Pale Ale,1,16.0,Against the Grain Brewery,Louisville,KY,south
